id,magnitude,color_index,size,ellipticity,label
obj_0000000,16.75,0.91,3.75,0.13,elliptical
obj_0000001,15.79,0.25,2.42,0.08,spiral
obj_0000002,16.97,0.77,1.44,0.05,elliptical
obj_0000003,18.28,0.41,1.39,0.02,elliptical
obj_0000004,15.65,0.5,2.23,0.22,spiral
obj_0000005,15.65,0.61,1.24,0.26,spiral
obj_0000006,18.37,0.56,2.97,0.48,spiral
obj_0000007,17.15,0.1,2.66,0.14,elliptical
obj_0000008,15.3,1.01,2.54,0.31,spiral
obj_0000009,16.81,0.94,2.0,0.2,spiral
obj_0000010,15.3,0.56,1.74,0.06,elliptical
obj_0000011,15.3,0.88,1.75,0.01,spiral
obj_0000012,16.36,0.48,2.64,0.1,spiral
obj_0000013,13.13,0.31,2.66,0.09,elliptical
obj_0000014,13.41,0.62,2.22,0.33,spiral
obj_0000015,15.16,0.25,1.41,0.0,spiral
obj_0000016,14.48,0.78,3.1,0.25,spiral
obj_0000017,16.47,0.39,2.1,0.03,spiral
obj_0000018,14.64,0.12,2.6,0.49,spiral
obj_0000019,13.88,-0.49,2.81,0.48,spiral
obj_0000020,18.2,0.56,2.6,0.24,elliptical
obj_0000021,15.66,0.7,2.18,0.13,spiral
obj_0000022,16.1,1.0,3.08,0.2,spiral
obj_0000023,13.86,0.08,3.01,0.12,spiral
obj_0000024,15.18,0.9,2.69,0.01,elliptical
obj_0000025,16.17,0.45,2.36,0.05,spiral
obj_0000026,14.27,0.58,3.1,0.26,spiral
obj_0000027,16.56,0.6,1.94,0.03,spiral
obj_0000028,15.1,0.6,2.78,0.13,elliptical
obj_0000029,15.56,-0.01,2.83,0.66,elliptical
obj_0000030,15.1,0.81,3.23,0.03,elliptical
obj_0000031,18.78,0.85,2.91,0.07,elliptical
obj_0000032,15.98,0.89,2.25,0.14,spiral
obj_0000033,14.41,0.75,3.44,0.11,spiral
obj_0000034,17.23,0.54,3.18,0.24,elliptical
obj_0000035,14.17,0.16,1.52,0.4,spiral
obj_0000036,16.31,0.73,2.92,0.01,spiral
obj_0000037,13.06,0.61,2.76,0.23,spiral
obj_0000038,14.01,0.6,3.39,0.39,spiral
obj_0000039,16.3,0.73,3.35,0.16,spiral
obj_0000040,17.11,0.59,2.58,0.32,spiral
obj_0000041,16.26,0.47,1.92,0.01,spiral
obj_0000042,15.83,0.25,2.25,0.08,spiral
obj_0000043,15.55,0.6,2.85,0.07,elliptical
obj_0000044,13.78,1.04,2.63,0.27,spiral
obj_0000045,14.92,0.27,2.93,0.32,spiral
obj_0000046,15.31,0.9,3.3,0.07,elliptical
obj_0000047,17.59,0.81,2.7,0.04,elliptical
obj_0000048,16.52,0.09,2.45,0.42,spiral
obj_0000049,13.36,0.78,1.98,0.16,spiral
obj_0000050,16.49,0.61,0.37,0.0,spiral
obj_0000051,15.42,0.57,2.26,0.2,elliptical
obj_0000052,14.98,1.2,2.51,0.03,spiral
obj_0000053,16.92,0.88,1.77,0.43,spiral
obj_0000054,17.55,0.32,3.04,0.03,spiral
obj_0000055,17.4,0.79,1.92,0.04,spiral
obj_0000056,14.74,0.32,2.47,0.04,spiral
obj_0000057,15.54,0.34,2.21,0.19,spiral
obj_0000058,16.5,0.65,3.83,0.07,spiral
obj_0000059,17.46,0.95,3.73,0.0,spiral
obj_0000060,15.28,0.15,3.02,0.06,spiral
obj_0000061,15.72,0.45,2.49,0.01,spiral
obj_0000062,14.34,0.95,2.87,0.16,elliptical
obj_0000063,14.21,0.32,2.46,0.08,spiral
obj_0000064,17.22,0.61,3.23,0.11,elliptical
obj_0000065,18.03,0.51,3.09,0.0,spiral
obj_0000066,15.89,0.98,3.04,0.22,elliptical
obj_0000067,17.51,0.7,2.75,0.26,spiral
obj_0000068,16.54,0.51,2.89,0.05,spiral
obj_0000069,15.03,0.35,3.22,0.18,spiral
obj_0000070,16.54,1.23,4.38,0.08,spiral
obj_0000071,18.31,0.58,3.32,0.2,spiral
obj_0000072,15.95,0.53,1.46,0.02,elliptical
obj_0000073,18.35,0.75,2.43,0.03,spiral
obj_0000074,12.07,0.82,2.04,0.06,spiral
obj_0000075,17.23,0.18,2.49,0.26,spiral
obj_0000076,16.13,0.54,2.41,0.1,spiral
obj_0000077,15.55,0.28,2.38,0.13,spiral
obj_0000078,16.14,0.43,2.89,0.3,spiral
obj_0000079,13.02,0.98,2.45,0.14,elliptical
obj_0000080,15.67,0.95,3.16,0.35,elliptical
obj_0000081,16.54,0.78,2.25,0.01,spiral
obj_0000082,18.22,0.18,1.83,0.01,spiral
obj_0000083,15.22,0.66,2.45,0.09,spiral
obj_0000084,14.79,0.43,2.08,0.16,elliptical
obj_0000085,15.25,0.9,3.31,0.09,spiral
obj_0000086,17.37,0.43,3.1,0.01,spiral
obj_0000087,16.49,0.35,3.44,0.21,spiral
obj_0000088,15.21,0.71,1.72,0.26,spiral
obj_0000089,16.77,0.96,1.23,0.02,spiral
obj_0000090,16.15,0.92,3.88,0.12,spiral
obj_0000091,17.45,0.99,1.59,0.14,elliptical
obj_0000092,14.95,0.99,3.14,0.03,elliptical
obj_0000093,15.51,1.09,3.04,0.04,elliptical
obj_0000094,15.41,0.65,2.52,0.21,spiral
obj_0000095,13.8,0.47,2.31,0.05,spiral
obj_0000096,16.44,0.35,1.71,0.12,elliptical
obj_0000097,16.39,0.96,3.45,0.2,elliptical
obj_0000098,16.01,0.55,3.09,0.19,elliptical
obj_0000099,15.65,0.33,4.66,0.46,elliptical
obj_0000100,13.88,0.76,2.42,0.08,spiral
obj_0000101,15.37,0.17,2.46,0.09,spiral
obj_0000102,15.49,0.28,1.59,0.21,spiral
obj_0000103,14.8,0.67,3.03,0.16,spiral
obj_0000104,15.76,0.86,0.75,0.17,elliptical
obj_0000105,16.61,0.5,1.09,0.49,elliptical
obj_0000106,18.83,0.53,2.67,0.17,elliptical
obj_0000107,16.26,0.84,2.9,0.0,elliptical
obj_0000108,16.39,0.85,2.0,0.04,spiral
obj_0000109,15.89,-0.02,1.59,0.37,spiral
obj_0000110,13.12,1.04,2.53,0.12,spiral
obj_0000111,15.96,0.5,1.93,0.24,spiral
obj_0000112,16.09,0.38,1.91,0.08,spiral
obj_0000113,19.69,0.46,2.9,0.01,spiral
obj_0000114,15.71,0.19,4.84,0.14,spiral
obj_0000115,16.45,1.36,2.0,0.06,spiral
obj_0000116,15.95,0.21,2.5,0.04,spiral
obj_0000117,14.25,0.15,2.58,0.03,elliptical
obj_0000118,17.71,0.52,1.77,0.35,elliptical
obj_0000119,17.13,0.19,2.32,0.15,spiral
obj_0000120,17.19,0.64,2.36,0.22,spiral
obj_0000121,14.64,1.09,2.3,0.15,elliptical
obj_0000122,18.1,0.65,2.04,0.01,elliptical
obj_0000123,13.9,0.7,2.71,0.04,elliptical
obj_0000124,16.88,0.51,2.4,0.26,elliptical
obj_0000125,19.29,0.29,0.69,0.0,spiral
